bagging Acc,randFrst10 Acc,randFrst50 Acc,randFrst100 Acc,randFrst150 Acc,randFrst200 Acc,randFrst250 Acc,randFrst300 Acc,randFrst350 Acc,randFrst400 Acc,randFrst450 Acc,randFrst500 Acc,randFrst550 Acc,randFrst600 Acc,randFrst650 Acc,randFrst700 Acc,randFrst750 Acc,randFrst800 Acc,randFrst850 Acc,randFrst900 Acc,randFrst950 Acc
0.895179124,0.897390535,0.896948253,0.899159664,0.897390535,0.897832817,0.897390535,0.896505971,0.897390535,0.897832817,0.898717382,0.899601946,0.8982751,0.897832817,0.898717382,0.898717382,0.900044228,0.899159664,0.899159664,0.900044228,0.900044228
0.780748663,0.756684492,0.745989305,0.729946524,0.732620321,0.735294118,0.735294118,0.737967914,0.740641711,0.737967914,0.737967914,0.737967914,0.737967914,0.740641711,0.740641711,0.740641711,0.740641711,0.740641711,0.737967914,0.740641711,0.740641711
0.936842105,0.957894737,0.950877193,0.954385965,0.947368421,0.947368421,0.950877193,0.950877193,0.950877193,0.947368421,0.950877193,0.954385965,0.950877193,0.950877193,0.950877193,0.947368421,0.947368421,0.947368421,0.947368421,0.950877193,0.950877193
0.685185185,0.685185185,0.740740741,0.740740741,0.703703704,0.703703704,0.722222222,0.722222222,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.722222222,0.740740741,0.740740741
0.832082552,0.829268293,0.856472795,0.858348968,0.851782364,0.853658537,0.851782364,0.848030019,0.850844278,0.849906191,0.851782364,0.85272045,0.85272045,0.851782364,0.851782364,0.849906191,0.850844278,0.850844278,0.851782364,0.851782364,0.849906191
0.79047619,0.79047619,0.828571429,0.838095238,0.828571429,0.838095238,0.828571429,0.847619048,0.838095238,0.828571429,0.838095238,0.847619048,0.838095238,0.828571429,0.819047619,0.828571429,0.828571429,0.828571429,0.819047619,0.80952381,0.80952381
0.822222222,0.925252525,0.957575758,0.961616162,0.951515152,0.955555556,0.957575758,0.955555556,0.955555556,0.961616162,0.961616162,0.961616162,0.961616162,0.957575758,0.957575758,0.957575758,0.95959596,0.957575758,0.957575758,0.957575758,0.957575758
0.805882353,0.8,0.823529412,0.817647059,0.829411765,0.829411765,0.829411765,0.823529412,0.823529412,0.817647059,0.817647059,0.817647059,0.817647059,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412
0.633027523,0.697247706,0.76146789,0.788990826,0.779816514,0.779816514,0.798165138,0.798165138,0.80733945,0.798165138,0.779816514,0.788990826,0.798165138,0.798165138,0.798165138,0.798165138,0.788990826,0.788990826,0.788990826,0.798165138,0.798165138
0.50330033,0.508250825,0.495049505,0.49009901,0.5,0.504950495,0.50660066,0.50330033,0.504950495,0.5,0.50330033,0.501650165,0.498349835,0.508250825,0.504950495,0.50660066,0.50660066,0.508250825,0.501650165,0.50330033,0.504950495
